Model,Baseline F1,Tuned F1,Final Precision,Final Recall,Final F1,Threshold
Logistic Regression,0.5995975855130785,0.6217008797653959,0.5430809399477807,0.7402135231316725,0.6265060240963856,0.5199999999999998
Random Forest,0.5280665280665281,0.5484536082474227,0.5398936170212766,0.7224199288256228,0.6179604261796042,0.30999999999999994
XGBoost,0.5201612903225806,0.5366876310272537,0.5303430079155673,0.7153024911032029,0.6090909090909091,0.2899999999999999
CatBoost,0.5446985446985447,0.5518672199170125,0.5491803278688525,0.7153024911032029,0.6213292117465224,0.30999999999999994
SVM,,0.6323529411764706,0.5808580858085809,0.6263345195729537,0.6027397260273972,0.5700000000000021
Gradient Boosting,,0.549266247379455,0.5323383084577115,0.7615658362989324,0.6266471449487555,0.2799999999999999
